БЕ (балансовая единица) держателя запаса,Наименование дочернего Общества',Филиал Общества (при наличии),"Адрес склада (Город, район)",Классы МТР,Наименование класса',Подклассы МТР ,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,"Стоимость запасов, руб (показывается сумма для продажи)"
,,,,,,,,,,,,
0221,"ООО ""РН-Туапсинский НПЗ""",,"АО ""Самара-Волго г. Самара, Московское ш., д. 55",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.017,
1221,"ООО ""РН-Туапсинский НПЗ""",,край Краснодарский р-н Туапсинский х Греческий ул Майкопская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.015,
1221,"ООО ""РН-Туапсинский НПЗ""",,край Краснодарский р-н Туапсинский х Греческий ул Майкопская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.009,
1221,"ООО ""РН-Туапсинский НПЗ""",,край Краснодарский р-н Туапсинский х Греческий ул Майкопская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.002,
1221,"ООО ""РН-Туапсинский НПЗ""",,край Краснодарский р-н Туапсинский х Греческий ул Майкопская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.003,
1221,"ООО ""РН-Туапсинский НПЗ""",,край Краснодарский р-н Туапсинский х Греческий ул Майкопская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.002,
1221,"ООО ""РН-Туапсинский НПЗ""",,край Краснодарский р-н Туапсинский х Греческий ул Майкопская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.028,
1222,ООО РН-Комсомольский НПЗ,,край Хабаровский     ул Ленинградская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна, 0.100,
1222,ООО РН-Комсомольский НПЗ,,край Хабаровский     ул Ленинградская,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна, 0.093,
