БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса,Плановая рентабельность
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",16.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,1.150,"22,912.63",18 957.21,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",13.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10419304,Доска-1-хвойная-30х100,КубичМетр,5.336,"5,095.89",908.66,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",19.06.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,3.000,"3,857.79",1 223.53,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.10.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,4.000,"4,986.87",1 186.22,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",23.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,7.151,"9,401.69",1 250.94,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",31.08.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,10.162,"12,642.12",1 183.69,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",25.05.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,1.000,"11,633.70",11 069.17,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",08.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,4.000,"46,616.56",11 088.62,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",06.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,42.070,"736,275.02",16 651.94,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.06.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,6.000,"133,917.31",21 236.49,5.1
