БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Майкопская улица 35, Республика Адыгея, Россия",09.07.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.017,"3,089.56",181 738.91
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",26.09.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.015,"2,471.07",164 738.00
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",16.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.009,"1,476.49",164 054.57
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",27.04.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.002,353.27,176 634.01
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",14.04.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.003,517.35,172 449.16
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",30.07.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.002,302.38,151 189.82
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",11.04.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.028,"5,074.58",181 234.95
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.08.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна,0.100,"18,095.68",180 956.78
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",23.04.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.093,"16,993.71",182 728.04
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",31.01.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.002,332.63,166 315.59
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",17.09.2019,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.001,161.49,161 489.70
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",06.04.2019,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.008,"1,230.10",153 762.60
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",28.03.2024,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.004,742.13,185 532.32
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",05.12.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.052,"8,111.25",155 985.49
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",09.08.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,1.334,"231,033.25",173 188.34
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",07.10.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.010,"1,738.64",173 863.87
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.12.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.007,"1,290.63",184 376.12
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",19.09.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.049,"8,453.76",172 525.75
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",26.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.001,152.61,152 607.90
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",09.10.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.010,"1,550.40",155 039.80
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",30.09.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1702636,Труба б/ш х/д 8Х2 В ст20,Тонна,0.040,"6,803.60",170 089.93
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",03.06.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.040,"7,591.08",189 777.11
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",26.11.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.135,"24,266.84",179 754.39
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",09.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.154,"29,160.13",189 351.51
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",17.09.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.002,372.96,186 480.62
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",14.10.2023,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.054,"9,969.51",184 620.61
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",05.06.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.005,846.37,169 273.74
