БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",16.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр," 1.150"," 0.041",,"18 957.21 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",13.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10419304,Доска-1-хвойная-30х100,КубичМетр," 5.336"," 0.041",198.7930002," 908.66 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",19.06.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 3.000"," 0.041",150.49419,"1 223.53 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.10.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 4.000"," 0.041",194.54008,"1 186.22 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",23.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 7.151"," 0.041",366.7643495,"1 250.94 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",31.08.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 10.162"," 0.041",493.174969,"1 183.69 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",25.05.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 1.000"," 0.041",453.83597,"11 069.17 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",08.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 4.000"," 0.041",1818.53368,"11 088.62 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",06.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 42.070"," 0.041",28722.43175,"16 651.94 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.06.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 6.000"," 0.041",5224.17654,"21 236.49 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",22.02.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 15.000"," 0.041",21020.7369,"34 180.06 "
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.07.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр," 20.000"," 0.041",760.4844," 927.42 "
