БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Майкопская улица 35, Республика Адыгея, Россия",09.07.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.017"," 0.040",123.5824588,"181 738.91 "
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",26.09.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.015"," 0.040",98.8428,"164 738.00 "
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",16.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.009"," 0.040",59.0596452,"164 054.57 "
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",27.04.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.002"," 0.040",14.1307208,"176 634.01 "
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",14.04.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.003"," 0.040",20.6938992,"172 449.16 "
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",30.07.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна," 0.002"," 0.040",12.0951856,"151 189.82 "
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",11.04.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.028"," 0.040",202.983144,"181 234.95 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",11.12.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023496,Брус 150Х150мм,КубичМетр," 5.000"," 0.040",4603.162,"23 015.81 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",09.01.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 4.800"," 0.040",5935.78944,"30 915.57 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",05.10.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр," 2.650"," 0.040",2000.84646,"18 875.91 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",30.03.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 10.800"," 0.040",5370.624,"12 432.00 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",07.11.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр," 22.680"," 0.040",17447.5607,"19 232.32 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",08.03.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1317889,Доска-1-хвойная-50х125,КубичМетр," 2.000"," 0.040",92.8648,"1 160.81 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",16.03.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1106662,Доска-2-осина-50х150 (обрезная),КубичМетр," 1.730"," 0.040",73.28972,"1 059.10 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",31.07.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1311249,Доска-1-хвойная-25х125,КубичМетр," 0.106"," 0.040",4.5638512,"1 076.38 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",16.03.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1311249,Доска-1-хвойная-25х125,КубичМетр," 3.000"," 0.040",141.4416,"1 178.68 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",07.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1317889,Доска-1-хвойная-50х125,КубичМетр," 1.262"," 0.040",62.9854104,"1 247.73 "
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",23.07.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1317889,Доска-1-хвойная-50х125,КубичМетр," 3.000"," 0.040",110.0664," 917.22 "
