БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.08.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна," 0.100"," 0.043",778.114154,"180 956.78 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",23.04.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна," 0.093"," 0.043",730.729432,"182 728.04 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",31.01.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна," 0.002"," 0.043",14.30314074,"166 315.59 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",17.09.2019,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна," 0.001"," 0.043",6.9440571,"161 489.70 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",06.04.2019,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.008"," 0.043",52.8943344,"153 762.60 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",28.03.2024,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.004"," 0.043",31.91155904,"185 532.32 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",05.12.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.052"," 0.043",348.7835556,"155 985.49 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",09.08.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 1.334"," 0.043",9934.429559,"173 188.34 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",07.10.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.010"," 0.043",74.7614641,"173 863.87 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.12.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.007"," 0.043",55.49721212,"184 376.12 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",19.09.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна," 0.049"," 0.043",363.5117553,"172 525.75 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",26.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.001"," 0.043",6.5621397,"152 607.90 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",20.06.2017,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука," 1.000"," 0.043",97.60054,"2 269.78 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",11.05.2021,20,Подшипники,20-980400,Втулки к подшипникам,10464971,Втулка закрепительная H322 GBI,Штука," 1.000"," 0.043",113.36477,"2 636.39 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",26.04.2016,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука," 1.000"," 0.043",72.23183,"1 679.81 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",21.04.2015,20,Подшипники,20-980400,Втулки к подшипникам,10464971,Втулка закрепительная H322 GBI,Штука," 1.000"," 0.043",121.88135,"2 834.45 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",12.10.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 11.210"," 0.043",451.5753446," 936.82 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",24.11.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр," 3.750"," 0.043",176.2398,"1 092.96 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",21.11.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 7.250"," 0.043",354.4192225,"1 136.87 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",18.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1459560,Доска-1-хвойная-40х120,КубичМетр," 11.800"," 0.043",507.029598," 999.27 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",30.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1484124,Брус-1-хвойный-120х150,КубичМетр," 0.200"," 0.043",194.83902,"22 655.70 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",25.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10309367,Доска-1-лиственница-30х150мм,КубичМетр," 7.500"," 0.043",414.84465,"1 286.34 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",12.10.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 4.500"," 0.043",241.853715,"1 249.89 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",16.01.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр," 10.000"," 0.043",438.7634,"1 020.38 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.12.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр," 20.257"," 0.043",877.4358038,"1 007.33 "
1222,ООО РН-Комсомольский НПЗ," Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",03.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023496,Брус 150Х150мм,КубичМетр," 29.700"," 0.043",43192.62031,"33 820.86 "
