БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",19.06.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1104513,Доска-2-лиственница-40х150 (обрезная),КубичМетр," 8.064"," 0.045",380.443392,"1 048.40 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",23.08.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр," 7.200"," 0.045",294.4674," 908.85 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",02.10.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10148495,Доска-2-сосна-100х100,КубичМетр," 13.200"," 0.045",633.0852,"1 065.80 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",28.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10517280,Доска-2-сосна-50х50,КубичМетр," 7.360"," 0.045",319.982256," 966.13 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",26.02.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1104513,Доска-2-лиственница-40х150 (обрезная),КубичМетр," 1.080"," 0.045",58.617432,"1 206.12 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",13.02.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр," 7.200"," 0.045",399.46932,"1 232.93 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",06.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр," 3.210"," 0.045",160.1733825,"1 108.85 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",08.01.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10148495,Доска-2-сосна-100х100,КубичМетр," 4.400"," 0.045",208.98306,"1 055.47 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",03.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10220419,Доска-1-сосна-25х150,КубичМетр," 1.845"," 0.045",97.13675925,"1 169.97 "
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",13.05.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10517280,Доска-2-сосна-50х50,КубичМетр," 8.640"," 0.045",385.833456," 992.37 "
1232,"AO ""ВЧНГ""","Катангский Район, Участок Инаригда, Иркутская Область, Россия",21.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10220419,Доска-1-сосна-25х150,КубичМетр," 7.980"," 0.045",367.097157,"1 022.27 "
