БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1244,"ООО ""РН-Бурение""","test",01.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр," 6.000"," 0.040",284.4912,"1 185.38 "
1244,"ООО ""РН-Бурение""","test",05.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 3.640"," 0.040",3616.692352,"24 839.92 "
1244,"ООО ""РН-Бурение""","test",21.12.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр," 32.903"," 0.040",1640.293517,"1 246.31 "
1244,"ООО ""РН-Бурение""","test",24.11.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр," 86.618"," 0.040",3307.768184," 954.70 "
1244,"ООО ""РН-Бурение""","test",29.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр," 19.900"," 0.040",905.97536,"1 138.16 "
1244,"ООО ""РН-Бурение""","test",04.11.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1305230,Брус двухкантный-1-лиственница-150х250,КубичМетр," 2.300"," 0.040",2272.538,"24 701.50 "
1244,"ООО ""РН-Бурение""","test",26.05.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1985646,Брусок-1-сосна-30х50мм 3м,Штука," 5.000"," 0.040",188.162," 940.81 "
1244,"ООО ""РН-Бурение""","test",16.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр," 0.500"," 0.040",20.915,"1 045.75 "
1244,"ООО ""РН-Бурение""","test",13.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр," 6.000"," 0.040",292.8264,"1 220.11 "
1244,"ООО ""РН-Бурение""","test",16.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр," 0.500"," 0.040",21.779,"1 088.95 "
1244,"ООО ""РН-Бурение""","test",01.08.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр," 0.200"," 0.040",9.10608,"1 138.26 "
1244,"ООО ""РН-Бурение""","test",30.08.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 0.500"," 0.040",542.3428,"27 117.14 "
1244,"ООО ""РН-Бурение""","test",14.03.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр," 3.000"," 0.040",112.368," 936.40 "
1244,"ООО ""РН-Бурение""","test",25.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр," 4.000"," 0.040",169.4448,"1 059.03 "
1244,"ООО ""РН-Бурение""","test",25.05.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 15.860"," 0.040",19237.03808,"30 323.20 "
1244,"ООО ""РН-Бурение""","test",25.05.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр," 5.220"," 0.040",257.602824,"1 233.73 "
1244,"ООО ""РН-Бурение""","test",17.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр," 144.748"," 0.040",7152.056579,"1 235.26 "
1244,"ООО ""РН-Бурение""","test",30.09.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр," 128.522"," 0.040",6427.899308,"1 250.35 "
1244,"ООО ""РН-Бурение""","test",24.04.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр," 18.456"," 0.040",833.5763136,"1 129.14 "
1244,"ООО ""РН-Бурение""","test",18.05.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1125930,Брус-1-хвойный-50х70,КубичМетр," 11.063"," 0.040",5245.649781,"11 854.04 "
1244,"ООО ""РН-Бурение""","test",18.02.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр," 10.000"," 0.040",449.268,"1 123.17 "
1244,"ООО ""РН-Бурение""","test",24.06.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр," 1.000"," 0.040",37.5488," 938.72 "
1244,"ООО ""РН-Бурение""","Магистральная улица, г. Губкинский, Ямало-Ненецкий автономный округ, Россиия",30.06.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр," 2.000"," 0.040",83.472,"1 043.40 "
1244,"ООО ""РН-Бурение""","Магистральная улица, г. Губкинский, Ямало-Ненецкий автономный округ, Россиия",22.11.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057410,Доска-1-хвойная-30 (необрезная),КубичМетр," 2.000"," 0.040",102.1128,"1 276.41 "
1244,"ООО ""РН-Бурение""","Магистральная улица, г. Губкинский, Ямало-Ненецкий автономный округ, Россиия",16.05.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр," 2.000"," 0.040",76.304," 953.80 "
1244,"ООО ""РН-Бурение""","Магистральная улица, г. Губкинский, Ямало-Ненецкий автономный округ, Россиия",25.09.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр," 20.000"," 0.040",879.304,"1 099.13 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",08.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1250751,Вагонка-Доска обрезн.липа 88х15х3000мм,Штука," 30.000"," 0.040",1243.884,"1 036.57 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",08.02.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1250751,Вагонка-Доска обрезн.липа 88х15х3000мм,Штука," 110.000"," 0.040",4763.704,"1 082.66 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",17.01.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр," 12.500"," 0.040",466.175," 932.35 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",25.08.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1074358,Доска-1-хвойная-20 (необрезная),КубичМетр," 6.000"," 0.040",303.2184,"1 263.41 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",17.08.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1250751,Вагонка-Доска обрезн.липа 88х15х3000мм,Штука," 850.000"," 0.040",35628.26,"1 047.89 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",03.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1438771,Доска-1-хвойная-50х100,КубичМетр," 4.000"," 0.040",206.4384,"1 290.24 "
1244,"ООО ""РН-Бурение""","АО ""Самара-Волго г. Самара, Московское ш., д. 55",03.12.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр," 21.500"," 0.040",17832.4354,"20 735.39 "
1244,"ООО ""РН-Бурение""","Краснодар, ул. Гаражная, 154, Краснодарский край, Россия",10.07.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070490,Брус-2-хвойный-100Х150,КубичМетр," 0.500"," 0.040",576.764,"28 838.20 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",06.07.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр," 0.500"," 0.040",18.3444," 917.22 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",28.02.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр," 0.400"," 0.040",14.64512," 915.32 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",12.12.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр," 0.500"," 0.040",19.0334," 951.67 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",23.12.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр," 0.300"," 0.040",13.45116,"1 120.93 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",27.11.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр," 0.800"," 0.040",33.98304,"1 061.97 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",18.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр," 0.232"," 0.040",11.881648,"1 280.35 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",19.12.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр," 0.500"," 0.040",21.7862,"1 089.31 "
1244,"ООО ""РН-Бурение""","Нефтеюганск, Дорожная ул., 11, Ханты-Мансийский автономный округ, Россия",12.06.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр," 0.500"," 0.040",24.9262,"1 246.31 "
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,01.09.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр," 4.000"," 0.040",152.5856," 953.66 "
