БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",09.10.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.010"," 0.046",71.318308,"155 039.80 "
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",30.09.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1702636,Труба б/ш х/д 8Х2 В ст20,Тонна," 0.040"," 0.046",312.9654712,"170 089.93 "
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",03.06.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна," 0.040"," 0.046",349.1898824,"189 777.11 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1445, Иркутская область, Россия",02.08.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр," 2.070"," 0.046",2832.703589,"29 749.04 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",12.11.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр," 9.370"," 0.046",554.5029198,"1 286.49 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",08.10.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр," 5.950"," 0.046",251.007533," 917.09 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",27.02.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 4.290"," 0.046",224.4880638,"1 137.57 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",10.10.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 18.880"," 0.046",901.5343488,"1 038.06 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",23.09.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1222698,Доска-1-хвойная-70х150,КубичМетр," 22.390"," 0.046",1076.101911,"1 044.82 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",28.09.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр," 1.830"," 0.046",2456.049149,"29 176.16 "
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",10.03.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1620602,Доска-1-хвойная-40х100,КубичМетр," 0.800"," 0.046",35.047216," 952.37 "
