БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",13.11.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.096"," 0.041",624.1451779,"158 573.47 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",25.04.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,2021870,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.103"," 0.041",707.8280943,"167 612.62 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",15.01.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.093"," 0.041",644.3733213,"168 993.79 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",21.01.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна," 0.003"," 0.041",22.11015774,"179 757.38 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",04.03.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна," 0.012"," 0.041",79.99409304,"162 589.62 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",09.06.2016,20,Подшипники,20-980400,Втулки к подшипникам,10105098,Втулка стяжная AH 2313 G SKF,Штука," 6.000"," 0.041",403.18908,"1 638.98 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",07.04.2017,20,Подшипники,20-980400,Втулки к подшипникам,2427931,Втулка стяжная AHX 2312 FAG,Штука," 2.000"," 0.041",125.56004,"1 531.22 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",17.04.2023,20,Подшипники,20-980400,Втулки к подшипникам,2427931,Втулка стяжная AHX 2312 FAG,Штука," 2.000"," 0.041",173.23156,"2 112.58 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",08.11.2018,20,Подшипники,20-980400,Втулки к подшипникам,2427931,Втулка стяжная AHX 2312 FAG,Штука," 2.000"," 0.041",147.95342,"1 804.31 "
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",21.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,1290055,Втулка стяжная АН 3132,Штука," 3.000"," 0.041",194.49744,"1 581.28 "
