БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",29.10.2015,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука," 2.000"," 0.048",147.40416,"1 535.46 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",23.04.2020,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука," 2.000"," 0.048",259.36896,"2 701.76 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",27.07.2022,11,Продукция кабельная,11-050800,Провода и кабели установочные,1099210,"Кабель ТПВБбГ 7х8х1,0",м," 480.000"," 0.048",133844.6592,"5 809.23 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",15.04.2020,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м," 390.000"," 0.048",137502.3312,"7 345.21 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",04.05.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 0.014"," 0.048",0.7773024,"1 156.70 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",06.11.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041060,Брус-2-хвойный-50х50,КубичМетр," 2.000"," 0.048",1336.33632,"13 920.17 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",07.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 0.014"," 0.048",0.76560288,"1 139.29 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",02.03.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр," 1.486"," 0.048",74.71180032,"1 047.44 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",24.01.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039816,Брус-1-хвойный-50х100,КубичМетр," 10.000"," 0.048",10638.9744,"22 164.53 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",08.05.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 2.000"," 0.048",3154.104,"32 855.25 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",29.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 7.570"," 0.048",4065.184474,"11 187.76 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",20.10.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 10.000"," 0.048",9929.8032,"20 687.09 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",01.01.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041060,Брус-2-хвойный-50х50,КубичМетр," 1.700"," 0.048",2733.715056,"33 501.41 "
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",05.01.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1309666,Доска-1-хвойная-20х150,КубичМетр," 6.300"," 0.048",360.742032,"1 192.93 "
