БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1376,"ООО ""РН-Сервис""","Красноярск, Россия",11.11.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр," 15.000"," 0.044",709.005,"1 074.25 "
1376,"ООО ""РН-Сервис""","Красноярск, Россия",24.01.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1877687,Доска-1-сосна-30х120,КубичМетр," 8.000"," 0.044",337.2864," 958.20 "
1376,"ООО ""РН-Сервис""","Красноярск, Россия",27.09.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039814,Брус-2-хвойный-50х100,КубичМетр," 8.000"," 0.044",5759.99424,"16 363.62 "
1376,"ООО ""РН-Сервис""","Красноярск, Россия",23.05.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1660776,Пиломатериал-1-береза -50х150 (обрезной),КубичМетр," 5.000"," 0.044",226.8244,"1 031.02 "
1376,"ООО ""РН-Сервис""","Красноярск, Россия",16.03.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10200189,Доска-2-сосна-50х150,КубичМетр," 1.000"," 0.044",45.11584,"1 025.36 "
1376,"ООО ""РН-Сервис""","Красноярск, Россия",21.03.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10220418,Доска-1-сосна-40х150,КубичМетр," 1.000"," 0.044",44.23452,"1 005.33 "
1376,"ООО ""РН-Сервис""","Усинск, улица Заводская, Республика Коми, Россия",16.03.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056129,Доска-2-хвойная-50х150,КубичМетр," 11.000"," 0.044",538.17412,"1 111.93 "
1376,"ООО ""РН-Сервис""","Усинск, улица Заводская, Республика Коми, Россия",15.02.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1660776,Пиломатериал-1-береза -50х150 (обрезной),КубичМетр," 29.000"," 0.044",1203.70184," 943.34 "
1376,"ООО ""РН-Сервис""","Усинск, улица Заводская, Республика Коми, Россия",10.03.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,20000312,Брус 1-хвойный -40Х60,КубичМетр," 140.000"," 0.044",131859.112,"21 405.70 "
1376,"ООО ""РН-Сервис""","Ханты-Мансийск, улица Индустриальная, Ханты-Мансийский автономный округ, Россия",11.11.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр," 23.000"," 0.044",1276.55704,"1 261.42 "
1376,"ООО ""РН-Сервис""","Ханты-Мансийск, улица Индустриальная, Ханты-Мансийский автономный округ, Россия",27.11.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр," 5.000"," 0.044",249.7286,"1 135.13 "
1376,"ООО ""РН-Сервис""","Ванкор, Красноярский край, Россия",20.07.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1877687,Доска-1-сосна-30х120,КубичМетр," 52.000"," 0.044",2440.67824,"1 066.73 "
1376,"ООО ""РН-Сервис""","Ханты-Мансийск, улица Индустриальная, Ханты-Мансийский автономный округ, Россия",18.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2243961,Пиломатериал-2-береза-50х200 (обрезной),КубичМетр," 9.000"," 0.044",509.44608,"1 286.48 "
