БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1746,"ООО ""РН-Уватнефтегаз""","Куст № 50 Мыхпайского месторождения, Ханты-Мансийский Автономный округ, Россия",01.10.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 10.000"," 0.043",11380.9949,"26 467.43 "
1746,"ООО ""РН-Уватнефтегаз""","Куст № 50 Мыхпайского месторождения, Ханты-Мансийский Автономный округ, Россия",10.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр," 2.000"," 0.043",1562.11518,"18 164.13 "
1746,"ООО ""РН-Уватнефтегаз""","Куст № 50 Мыхпайского месторождения, Ханты-Мансийский Автономный округ, Россия",05.05.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр," 8.000"," 0.043",5679.92848,"16 511.42 "
1746,"ООО ""РН-Уватнефтегаз""","Кальчинское нефтегазоконденсатное месторождение, Тюменская область,  Россия",17.07.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 10.040"," 0.043",5528.8524,"12 806.57 "
1746,"ООО ""РН-Уватнефтегаз""","Кальчинское нефтегазоконденсатное месторождение, Тюменская область,  Россия",10.06.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1168375,Доска-3-хвойная-50х100,КубичМетр," 3.730"," 0.043",200.6061886,"1 250.74 "
1746,"ООО ""РН-Уватнефтегаз""","Кальчинское нефтегазоконденсатное месторождение, Тюменская область,  Россия",21.06.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 7.920"," 0.043",6808.203072,"19 991.20 "
1746,"ООО ""РН-Уватнефтегаз""","посёлок Туртас, Уватский муниципальный округ, Школьная улица, Тюменская область, Россия",26.01.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр," 0.200"," 0.043",8.502476," 988.66 "
1746,"ООО ""РН-Уватнефтегаз""","посёлок Туртас, Уватский муниципальный округ, Школьная улица, Тюменская область, Россия",06.12.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр," 4.180"," 0.043",210.1843612,"1 169.38 "
1746,"ООО ""РН-Уватнефтегаз""","посёлок Туртас, Уватский муниципальный округ, Школьная улица, Тюменская область, Россия",05.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 10.420"," 0.043",5544.231712,"12 373.86 "
1746,"ООО ""РН-Уватнефтегаз""","посёлок Туртас, Уватский муниципальный округ, Школьная улица, Тюменская область, Россия",12.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 25.080"," 0.043",18453.629,"17 111.41 "
