БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1770,"АО ""Оренбургнефть""","Курманаевка, Оренбургская область, Россия",04.06.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 18.700"," 0.045",11153.87213,"13 254.75 "
1770,"АО ""Оренбургнефть""","Курманаевка, Оренбургская область, Россия",29.03.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023496,Брус 150Х150мм,КубичМетр," 6.000"," 0.045",5000.4648,"18 520.24 "
1770,"АО ""Оренбургнефть""","Курманаевка, Оренбургская область, Россия",15.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 16.250"," 0.045",883.2915,"1 207.92 "
1770,"АО ""Оренбургнефть""","Курманаевка, Оренбургская область, Россия",04.11.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 2.300"," 0.045",103.18743," 996.98 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",29.03.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 1.000"," 0.045",1309.53375,"29 100.75 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",18.06.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 1.000"," 0.045",43.0965," 957.70 "
1770,"АО ""Оренбургнефть""","Петровка, Оренбургская область, Россия",06.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 2.000"," 0.045",2607.5529,"28 972.81 "
1770,"АО ""Оренбургнефть""","Петровка, Оренбургская область, Россия",23.10.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 2.000"," 0.045",114.0057,"1 266.73 "
1770,"АО ""Оренбургнефть""","Красногвардейский район, Село Донское, Оренбургская область, Россия",19.12.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 2.760"," 0.045",1653.68574,"13 314.70 "
1770,"АО ""Оренбургнефть""","Красногвардейский район, Село Донское, Оренбургская область, Россия",23.11.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 17.000"," 0.045",12541.06575,"16 393.55 "
1770,"АО ""Оренбургнефть""","Красногвардейский район, Село Донское, Оренбургская область, Россия",13.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 0.610"," 0.045",35.4925755,"1 292.99 "
1770,"АО ""Оренбургнефть""","Красногвардейский район, Село Донское, Оренбургская область, Россия",08.10.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 6.600"," 0.045",333.48051,"1 122.83 "
1770,"АО ""Оренбургнефть""","Красногвардейский район, Село Донское, Оренбургская область, Россия",10.03.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 26.000"," 0.045",1409.6628,"1 204.84 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",03.12.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 2.000"," 0.045",1159.9011,"12 887.79 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",22.11.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 3.000"," 0.045",142.0227,"1 052.02 "
1770,"АО ""Оренбургнефть""","Петровка, Оренбургская область, Россия",20.07.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 3.000"," 0.045",127.6614," 945.64 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",09.10.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 4.500"," 0.045",3576.5226,"17 661.84 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",11.01.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 3.000"," 0.045",146.15505,"1 082.63 "
1770,"АО ""Оренбургнефть""","Междулесье, Оренбургская область, Россия",08.12.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 1.500"," 0.045",62.27955," 922.66 "
1770,"АО ""Оренбургнефть""","Петровка, Оренбургская область, Россия",04.11.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 2.000"," 0.045",94.869,"1 054.10 "
