БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",15.07.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,2285865,Труба б/ш х/д к/ст 8х1 08Х12Н10Т,Тонна," 0.005"," 0.046",34.8648927,"151 586.49 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",24.04.2025,20,Подшипники,20-980400,Втулки к подшипникам,10015903,Втулка H310 SKF,Штука," 11.000"," 0.046",896.379,"1 771.50 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",02.12.2015,20,Подшипники,20-980400,Втулки к подшипникам,2312641,Втулка В28 УХЛ3,Штука," 53.000"," 0.046",4090.91524,"1 677.98 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",22.09.2022,20,Подшипники,20-980400,Втулки к подшипникам,2312641,Втулка В28 УХЛ3,Штука," 12.000"," 0.046",1465.59864,"2 655.07 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",06.08.2015,20,Подшипники,20-980400,Втулки к подшипникам,2312640,Втулка В22 УХЛ1,Штука," 283.000"," 0.046",21374.64474,"1 641.93 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",13.11.2017,20,Подшипники,20-980400,Втулки к подшипникам,10537440,Втулка H2319 EBC,Штука," 1.000"," 0.046",126.89882,"2 758.67 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",23.08.2017,20,Подшипники,20-980400,Втулки к подшипникам,2312642,Втулка В22 УХЛ3,Штука," 362.000"," 0.046",29492.3572,"1 771.10 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",15.05.2025,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,2 000.000," 0.046",630793.4,"6 856.45 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",26.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057421,Доска-2-хвойная-30 (необрезная),КубичМетр," 1.125"," 0.046",64.3733775,"1 243.93 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",04.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2497523,Доска-2-хвойная-50 (необрезная),КубичМетр," 3.000"," 0.046",150.834,"1 093.00 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",30.04.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр," 1.000"," 0.046",50.19244,"1 091.14 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",04.06.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр," 1.150"," 0.046",51.777462," 978.78 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",12.02.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070501,Брус-2-хвойный-150х200,КубичМетр," 1.640"," 0.046",2061.470422,"27 325.96 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",06.10.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр," 2.000"," 0.046",1025.43476,"11 146.03 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",23.03.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057421,Доска-2-хвойная-30 (необрезная),КубичМетр," 2.000"," 0.046",85.19476," 926.03 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",09.08.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2497523,Доска-2-хвойная-50 (необрезная),КубичМетр," 39.194"," 0.046",1738.271145," 964.14 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",19.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр," 6.100"," 0.046",325.01898,"1 158.30 "
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",04.08.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр," 7.000"," 0.046",364.23996,"1 131.18 "
