БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",28.02.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070488,Брус-1-хвойный-100Х150,КубичМетр," 0.467"," 0.043",221.0651023,"11 008.67 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",25.06.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр," 10.000"," 0.043",411.8196," 957.72 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",25.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1251770,Брус-1-хвойный-100Х200,КубичМетр," 4.000"," 0.043",4136.25256,"24 047.98 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",04.09.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 1.164"," 0.043",810.1702016,"16 186.57 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",24.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1095686,Брус-1-хвойный-50Х150,КубичМетр," 2.520"," 0.043",1412.968889,"13 039.58 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",15.12.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10308686,Брусок-1-хвойный-20х40мм 3м,Штука," 3.000"," 0.043",135.66414,"1 051.66 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",07.03.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2505231,Доска-3-хвойная-40х130 6000мм,Штука," 3.000"," 0.043",140.86929,"1 092.01 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",14.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10294527,Доска-1-хвойная-50х100 (6000мм),Штука," 17.000"," 0.043",749.31886,"1 025.06 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",02.01.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр," 5.000"," 0.043",258.7181,"1 203.34 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",16.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 5.940"," 0.043",3541.336999,"13 864.76 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",21.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1095686,Брус-1-хвойный-50Х150,КубичМетр," 2.000"," 0.043",1539.0775,"17 896.25 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",22.07.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1251770,Брус-1-хвойный-100Х200,КубичМетр," 5.000"," 0.043",7223.25825,"33 596.55 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",02.11.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1095686,Брус-1-хвойный-50Х150,КубичМетр," 2.000"," 0.043",1146.23896,"13 328.36 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",02.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1251770,Брус-1-хвойный-100Х200,КубичМетр," 5.000"," 0.043",6761.2813,"31 447.82 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",30.10.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1251770,Брус-1-хвойный-100Х200,КубичМетр," 3.600"," 0.043",3623.55066,"23 407.95 "
1B67,"ООО ""Башнефть-Добыча""","Белебеевский район, рабочий посёлок Приютово, Комсомольская улица 13, Республика Башкортостан, Россия",21.10.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2093374,Доска-1-хвойная-40х200,КубичМетр," 4.000"," 0.043",167.02576," 971.08 "
