БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1F01,ООО Сахалин-1,"Чайво, Сахалинская область, Россия",14.02.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1438771,Доска-1-хвойная-50х100,КубичМетр," 10.000"," 0.050",574.585,"1 149.17 "
1F01,ООО Сахалин-1,"Чайво, Сахалинская область, Россия",06.07.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10389274,Брус-1-хвойный-150х150мм,КубичМетр," 1.000"," 0.050",1747.23,"34 944.60 "
1F01,ООО Сахалин-1,"Чайво, Сахалинская область, Россия",28.02.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1222698,Доска-1-хвойная-70х150,КубичМетр," 4.000"," 0.050",219.452,"1 097.26 "
1F01,ООО Сахалин-1,"Чайво, Сахалинская область, Россия",08.02.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,9026003,Брус хв/п 150х150х4000мм,КубичМетр," 4.000"," 0.050",5970.786,"29 853.93 "
1F01,ООО Сахалин-1,"Де-Кастри, Хабаровский край, Россия",28.09.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр," 3.000"," 0.050",2418.8595,"16 125.73 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",18.02.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041051,Доска-1-хвойная-40х150,КубичМетр," 2.000"," 0.050",124.011,"1 240.11 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",03.05.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр," 3.000"," 0.050",193.281,"1 288.54 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",16.04.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070488,Брус-1-хвойный-100Х150,КубичМетр," 2.000"," 0.050",1775.476,"17 754.76 "
1F01,ООО Сахалин-1,"Одопту MPB, Сахалинская область, Россия",02.10.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059584,Брус-1-хвойный-200х200,КубичМетр," 1.000"," 0.050",917.7915,"18 355.83 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",29.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 18.000"," 0.050",25579.098,"28 421.22 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",07.06.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр," 2.000"," 0.050",107.796,"1 077.96 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",26.07.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1222698,Доска-1-хвойная-70х150,КубичМетр," 33.000"," 0.050",1570.2555," 951.67 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",10.05.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,9026003,Брус хв/п 150х150х4000мм,КубичМетр," 16.440"," 0.050",19302.60678,"23 482.49 "
1F01,ООО Сахалин-1,"Холмск, Сахалинская область, Россия",03.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,9026003,Брус хв/п 150х150х4000мм,КубичМетр," 5.560"," 0.050",7512.66922,"27 023.99 "
